rank,finalWorth (million dollars),category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,birthYear,birthMonth,birthDay
65,"$23,100.00",Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,Metals & Mining,Chile,FALSE,U,F,Fontbona,Iris,,1943,1,1
65,"$23,100.00",Manufacturing,Michael Hartono,83,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,FALSE,U,M,Hartono,Michael,,1939,10,2
67,"$22,900.00",Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,TRUE,U,M,Ratcliffe,James,,1953,1,1
68,"$22,600.00",Healthcare,Cyrus Poonawalla,81,India,Pune,Vaccines,Healthcare,India,FALSE,D,M,Poonawalla,Cyrus,,1941,5,11
69,"$22,400.00",Telecom,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",Telecom,Japan,TRUE,U,M,Son,Masayoshi,CEO,1957,8,11
70,"$22,100.00",Metals & Mining,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,TRUE,U,M,Lisin,Vladimir,,1956,5,7
71,"$22,000.00",Food & Beverage,Emmanuel Besnier,52,France,Laval,Cheese,Food & Beverage,France,FALSE,D,M,Besnier,Emmanuel,,1970,9,18
72,"$21,600.00",Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,Finance & Investments,United States,FALSE,U,F,Johnson,Abigail,CEO,1961,12,19
72,"$21,600.00",Energy,Leonid Mikhelson & family,67,Russia,Moscow,"Gas, chemicals",Energy,Russia,TRUE,U,M,Mikhelson,Leonid,,1955,8,11
74,"$21,200.00",Fashion & Retail,Lukas Walton,36,United States,Chicago,Walmart,Fashion & Retail,United States,FALSE,U,M,Walton,Lukas,,1986,9,19
74,"$21,200.00",Service,Wang Wei,52,China,Shenzhen,Package delivery,Service,China,TRUE,D,M,Wang,Wei,,1970,10,1
76,"$21,100.00",Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,Technology,United States,TRUE,U,M,Huang,Jensen,CEO & President,1963,2,17
77,"$21,000.00",Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,Fashion & Retail,United States,FALSE,D,M,Lauder,Leonard,Chairman Emeritus,1933,3,19
77,"$21,000.00",Manufacturing,Takemitsu Takizaki,77,Japan,Osaka,Sensors,Manufacturing,Japan,TRUE,D,M,Takizaki,Takemitsu,,1945,6,10
79,"$20,900.00",Metals & Mining,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,TRUE,U,M,Mordashov,Alexey,,1965,9,26
80,"$20,500.00",Energy,Vagit Alekperov,72,Russia,Moscow,Oil,Energy,Russia,TRUE,U,M,Alekperov,Vagit,,1950,9,1
81,"$20,200.00",Healthcare,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,Healthcare,United States,TRUE,D,M,Frist,Thomas,,1938,8,12
82,"$19,600.00",Metals & Mining,Andrew Forrest,61,Australia,Perth,Mining,Metals & Mining,Australia,TRUE,U,M,Forrest,Andrew,,1961,11,18
83,"$19,100.00",Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,Finance & Investments,United States,TRUE,D,M,Dalio,Ray,Founder & Co-Chief Investment Officer,1949,8,8
84,"$19,000.00",Automotive,Eric Li,59,China,Hangzhou,Automobiles,Automotive,China,TRUE,D,M,Li,Eric,,1963,6,1
84,"$19,000.00",Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",Metals & Mining,China,TRUE,U,M,Wang,Wenyin,,1968,3,1
86,"$18,900.00",Diversified,Eyal Ofer,72,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,FALSE,U,M,Ofer,Eyal,,1950,6,2
86,"$18,900.00",Food & Beverage,Qin Yinglin,57,China,Nanyang,Pig breeding,Food & Beverage,China,TRUE,D,M,Qin,Yinglin,,1965,4,17
88,"$18,700.00",Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",Automotive,China,TRUE,D,M,Wang,Chuanfu,,1966,2,15
89,"$18,500.00",Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,Energy,United States,TRUE,U,M,Hamm,Harold,Chairman and CEO,1945,12,11
89,"$18,500.00",Finance & Investments,David Tepper,65,United States,Palm Beach,Hedge funds,Finance & Investments,United States,TRUE,U,M,Tepper,David,President and Founder,1957,9,11
89,"$18,500.00",Energy,Gennady Timchenko,70,Russia,Moscow,"Oil, gas",Energy,Russia,TRUE,U,M,Timchenko,Gennady,,1952,11,9
92,"$18,000.00",Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,Finance & Investments,United States,TRUE,D,M,Gilbert,Daniel,,1962,1,17
93,"$17,700.00",Metals & Mining,Lakshmi Mittal,72,United Kingdom,London,Steel,Metals & Mining,India,FALSE,D,M,Mittal,Lakshmi,Chairman and CEO,1950,6,15
94,"$17,500.00",Finance & Investments,Steve Cohen,66,United States,Greenwich,Hedge funds,Finance & Investments,United States,TRUE,U,M,Cohen,Steve,Founder,1956,6,11
94,"$17,500.00",Finance & Investments,Carl Icahn,87,United States,Indian Creek,Investments,Finance & Investments,United States,TRUE,U,M,Icahn,Carl,Founder,1936,2,16
94,"$17,500.00",Metals & Mining,Savitri Jindal & family,73,India,Hisar,Steel,Metals & Mining,India,FALSE,D,F,Jindal,Savitri,,1950,3,20
97,"$17,400.00",Real Estate,Donald Bren,90,United States,Newport Beach,Real estate,Real Estate,United States,TRUE,U,M,Bren,Donald,Chairman,1932,5,11
97,"$17,400.00",Fashion & Retail,"John Menard, Jr.",83,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,TRUE,U,M,Menard,John,Founder,1940,1,22
99,"$17,100.00",Media & Entertainment,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,FALSE,D,M,Murdoch,Rupert,Chairman and CEO,1931,3,11
100,"$16,700.00",Finance & Investments,Vicky Safra & family,70,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,FALSE,U,F,Safra,Vicky,,1953,1,1
101,"$16,500.00",Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,FALSE,D,M,Albrecht,Theo,,1951,1,1
101,"$16,500.00",Finance & Investments,Renata Kellnerova & family,55,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,FALSE,D,F,Kellnerova,Renata,,1967,7,4
103,"$16,300.00",Healthcare,Li Xiting,72,China,Shenzhen,medical devices,Healthcare,Singapore,TRUE,D,M,Li,Xiting,,1951,1,1
104,"$16,200.00",Fashion & Retail,Stefan Persson,75,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,FALSE,D,M,Persson,Stefan,Chairman,1947,10,4
104,"$16,200.00",Technology,Eric Schmidt,67,United States,Atherton,Google,Technology,United States,TRUE,D,M,Schmidt,Eric,,1955,4,27
106,"$16,000.00",Finance & Investments,Michael Platt,55,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,TRUE,U,M,Platt,Michael,Founder ,1968,3,18
107,"$15,900.00",Food & Beverage,Pang Kang,67,China,Foshan,Soy sauce,Food & Beverage,China,TRUE,D,M,Pang,Kang,,1956,1,19
108,"$15,800.00",Fashion & Retail,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,Germany,FALSE,Split Family Fortune,M,Albrecht Jr.,Karl,,,,
108,"$15,800.00",Fashion & Retail,Beate Heister,,,,Supermarkets,Fashion & Retail,Germany,FALSE,Split Family Fortune,F,Heister,Beate,,,,
108,"$15,800.00",Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,Zurich,Beer,Food & Beverage,Brazil,TRUE,U,M,Lemann,Jorge Paulo,"Investor, Philanthropist",1939,8,26
108,"$15,800.00",Real Estate,Peter Woo,76,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,FALSE,D,M,Woo,Peter,,1946,9,5
112,"$15,600.00",Healthcare,Dilip Shanghvi,67,India,Mumbai,Pharmaceuticals,Healthcare,India,TRUE,E,M,Shanghvi,Dilip,,1955,10,1
113,"$15,500.00",Technology,Robert Pera,45,United States,San Jose,Wireless networking,Technology,United States,TRUE,U,M,Pera,Robert,Chief Executive Officer,1978,3,10
114,"$15,300.00",Fashion & Retail,Radhakishan Damani,68,India,Mumbai,"Retail, investments",Fashion & Retail,India,TRUE,D,M,Damani,Radhakishan,,1955,1,1
115,"$15,200.00",Automotive,Huang Shilin,56,China,Ningde,Batteries,Automotive,China,TRUE,D,M,Huang,Shilin,,1967,1,1
116,"$14,900.00",Diversified,Dhanin Chearavanont,83,Thailand,Bangkok,Diversified,Diversified,Thailand,FALSE,U,M,Chearavanont,Dhanin,,1939,4,19
116,"$14,900.00",Fashion & Retail,David Green & family,81,United States,Oklahoma City,Retail,Fashion & Retail,United States,TRUE,U,M,Green,David,CEO,1941,11,13
118,"$14,800.00",Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,Thailand,TRUE,U,M,Sirivadhanabhakdi,Charoen,,1944,5,2
119,"$14,700.00",Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,London,Heineken,Food & Beverage,Netherlands,FALSE,D,F,de Carvalho-Heineken,Charlene,,1954,6,30
120,"$14,600.00",Healthcare,Xu Hang,60,China,Shenzhen,Medical devices,Healthcare,Hong Kong,TRUE,D,M,Xu,Hang,,1962,5,22
121,"$14,500.00",Automotive,Wei Jianjun & family,59,China,Baoding,Automobiles,Automotive,China,TRUE,D,M,Wei,Jianjun,,1964,3,1
122,"$14,400.00",Metals & Mining,Alisher Usmanov,69,Uzbekistan,Tashkent,"Steel, telecom, investments",Metals & Mining,Russia,TRUE,U,M,Usmanov,Alisher,Founder,1953,9,9
123,"$14,300.00",Manufacturing,Goh Cheng Liang,95,Singapore,Singapore,Paints,Manufacturing,Singapore,TRUE,U,M,Goh,Cheng Liang,,1927,6,27
124,"$14,200.00",Diversified,Kumar Birla,55,India,Mumbai,Commodities,Diversified,India,FALSE,D,M,Birla,Kumar,,1967,6,14
124,"$14,200.00",Manufacturing,Aliko Dangote,65,Nigeria,Lagos,"Cement, sugar",Manufacturing,Nigeria,TRUE,U,M,Dangote,Aliko,CEO,1957,4,10
126,"$14,100.00",Real Estate,Kwong Siu-hing,93,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,FALSE,U,F,Kwong,Siu-hing,,1929,12,2
127,"$14,000.00",Diversified,Idan Ofer,67,United Kingdom,London,Shipping,Diversified,Israel,FALSE,U,M,Ofer,Idan,,1955,10,2
128,"$13,900.00",Healthcare,Chen Bang,57,China,Changsha,Hospitals,Healthcare,China,TRUE,U,M,Chen,Bang,,1965,9,1
128,"$13,900.00",Gambling & Casinos,Lui Che Woo,94,Hong Kong,Hong Kong,Casinos/hotels,Gambling & Casinos,Hong Kong,TRUE,U,M,Lui,Che Woo,,1929,4,1
130,"$13,700.00",Logistics,John Fredriksen,78,United Kingdom,London,Shipping,Logistics,Cyprus,TRUE,U,M,Fredriksen,John,Investor,1945,2,1
130,"$13,700.00",Construction & Engineering,Diane Hendricks,76,United States,Afton,Building supplies,Construction & Engineering,United States,TRUE,U,F,Hendricks,Diane,Cofounder,1947,3,2
130,"$13,700.00",Technology,Jan Koum,47,United States,Atherton,WhatsApp,Technology,United States,TRUE,U,M,Koum,Jan,"CEO, cofounder",1976,2,24
133,"$13,300.00",Sports,Jerry Jones,80,United States,Dallas,Dallas Cowboys,Sports,United States,TRUE,U,M,Jones,Jerry,President and General Manager,1942,10,13
133,"$13,300.00",Energy,George Kaiser,80,United States,Tulsa,"Oil & gas, banking",Energy,United States,FALSE,U,M,Kaiser,George,Chairman,1942,7,29
133,"$13,300.00",Real Estate,Joseph Lau,71,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,TRUE,D,M,Lau,Joseph,,1951,7,21
136,"$13,200.00",Automotive,Lu Xiangyang,60,China,Guangzhou,"Automobiles, batteries",Automotive,China,TRUE,D,M,Lu,Xiangyang,,1962,12,28
137,"$13,100.00",Real Estate,Harry Triguboff,90,Australia,Sydney,Real estate,Real Estate,Australia,TRUE,U,M,Triguboff,Harry,,1933,3,3
138,"$12,900.00",Finance & Investments,Uday Kotak,64,India,Mumbai,Banking,Finance & Investments,India,TRUE,D,M,Kotak,Uday,,1959,3,15
138,"$12,900.00",Sports,Stanley Kroenke,75,United States,Electra,"Sports, real estate",Sports,United States,TRUE,U,M,Kroenke,Stanley,,1947,7,29
140,"$12,600.00",Energy,Mikhail Fridman,58,United Kingdom,London,"Oil, banking, telecom",Energy,Russia,TRUE,U,M,Fridman,Mikhail,,1964,4,21
141,"$12,300.00",Energy,Sarath Ratanavadi,57,Thailand,Bangkok,Energy,Energy,Thailand,TRUE,U,M,Ratanavadi,Sarath,,1965,7,12
142,"$12,200.00",Metals & Mining,Dang Yanbao,50,China,Yinchuan,Coal,Metals & Mining,China,TRUE,D,M,Dang,Yanbao,,1973,2,1
142,"$12,200.00",Healthcare,Jiang Rensheng & family,69,China,Chongqing,Vaccines,Healthcare,China,TRUE,D,M,Jiang,Rensheng,,1953,10,8
144,"$12,100.00",Automotive,Shahid Khan,72,United States,Naples,Auto parts,Automotive,United States,TRUE,U,M,Khan,Shahid,,1950,7,18
145,"$12,000.00",Technology,Laurene Powell Jobs & family,59,United States,Palo Alto,"Apple, Disney",Technology,United States,FALSE,D,F,Powell Jobs,Laurene,"Investor, Philanthropist",1963,11,6
146,"$11,800.00",Diversified,Robert Kuok,99,Hong Kong,Hong Kong,"Palm oil, shipping, property",Diversified,Malaysia,TRUE,U,M,Kuok,Robert,,1923,10,6
147,"$11,600.00",Real Estate,Stephen Ross,82,United States,New York,Real estate,Real Estate,United States,TRUE,U,M,Ross,Stephen,,1940,5,10
148,"$11,500.00",Technology,Pavel Durov,38,United Arab Emirates,Dubai,Messaging app,Technology,United Arab Emirates,TRUE,D,M,Durov,Pavel,,1984,10,10
148,"$11,500.00",Healthcare,Andreas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,TRUE,D,M,Struengmann,Andreas,,1950,2,16
148,"$11,500.00",Healthcare,Thomas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,TRUE,D,M,Struengmann,Thomas,,1950,2,16
151,"$11,400.00",Food & Beverage,Liu Hanyuan,59,China,Chengdu,Agribusiness,Food & Beverage,China,TRUE,D,M,Liu,Hanyuan,,1964,1,1
151,"$11,400.00",Fashion & Retail,Michael Rubin,50,United States,Bryn Mawr,Online retail,Fashion & Retail,United States,TRUE,U,M,Rubin,Michael,CEO,1972,7,21
153,"$11,300.00",Finance & Investments,Israel Englander,74,United States,New York,Hedge funds,Finance & Investments,United States,TRUE,D,M,Englander,Israel,Founder,1948,9,30
153,"$11,300.00",Manufacturing,Viatcheslav Kantor,69,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,Russia,TRUE,U,M,Kantor,Viatcheslav,,1953,9,8
153,"$11,300.00",Manufacturing,Anthony Pratt,62,Australia,Melbourne,Manufacturing,Manufacturing,Australia,FALSE,D,M,Pratt,Anthony,,1960,4,11
153,"$11,300.00",Finance & Investments,Mikhail Prokhorov,57,Switzerland,Frauenfeld,Investments,Finance & Investments,Russia,TRUE,U,M,Prokhorov,Mikhail,,1965,5,3
157,"$11,100.00",Fashion & Retail,Giorgio Armani,88,Italy,Milan,Luxury goods,Fashion & Retail,Italy,TRUE,U,M,Armani,Giorgio,,1934,7,11
157,"$11,100.00",Fashion & Retail,Johann Rupert & family,72,South Africa,Cape Town,Luxury goods,Fashion & Retail,South Africa,FALSE,U,M,Rupert,Johann,,1950,6,1
159,"$11,000.00",Finance & Investments,Gong Hongjia & family,58,Hong Kong,Hong Kong,Video surveillance,Finance & Investments,Hong Kong,TRUE,D,M,Gong,Hongjia,,1965,1,1
159,"$11,000.00",Technology,Zhang Zhidong,51,China,Shenzhen,Internet media,Technology,China,TRUE,D,M,Zhang,Zhidong,,1972,1,1
161,"$10,900.00",Finance & Investments,Philip Anschutz,83,United States,Denver,"Energy, sports, entertainment",Finance & Investments,United States,FALSE,E,M,Anschutz,Philip,,1939,12,28
161,"$10,900.00",Fashion & Retail,Judy Love & family,85,United States,Oklahoma City,Gas stations,Fashion & Retail,United States,TRUE,U,F,Love,Judy,Chairman and CEO,1937,6,17
161,"$10,900.00",Fashion & Retail,Ricardo Salinas Pliego & family,67,Mexico,Mexico City,"Retail, media",Fashion & Retail,Mexico,FALSE,D,M,Salinas Pliego,Ricardo,,1955,10,19
164,"$10,700.00",Media & Entertainment,Donald Newhouse,93,United States,New York,Media,Media & Entertainment,United States,FALSE,D,M,Newhouse,Donald,,1929,8,5
165,"$10,600.00",Sports,Robert Kraft,81,United States,Brookline,"Manufacturing, New England Patriots",Sports,United States,TRUE,U,M,Kraft,Robert,Chairman & CEO,1941,6,5
